tournament,pool_id,fencer_num,fencer,opponent_num,opponent,bout_order,bout_type,cell_result,result,touches_scored,touches_allowed,score_margin,fencer_rating_pre,opp_rating_pre,strength_diff,win,fencer_bout_order,prev_win,recent_form_3
Feb NAC 2026,pool_1,7,HOLLIDAY Christopher Mansfield-Scott,6,KAO Castor T.,7,pool,D1,0,1,5,-4,2080.0,3260.0,-1180.0,0,2,0.0,0.0
Feb NAC 2026,pool_1,7,HOLLIDAY Christopher Mansfield-Scott,5,MCISAAC Finn,11,pool,V5,1,5,5,0,2080.0,2368.0,-288.0,1,3,0.0,0.0
Feb NAC 2026,pool_1,7,HOLLIDAY Christopher Mansfield-Scott,2,SHANNON Jack,14,pool,D3,0,3,5,-2,2080.0,2059.0,21.0,0,4,1.0,0.3333333333333333
Feb NAC 2026,pool_1,7,HOLLIDAY Christopher Mansfield-Scott,3,PARK Sky,18,pool,D3,0,3,5,-2,2080.0,2468.0,-388.0,0,5,0.0,0.3333333333333333
Feb NAC 2026,pool_1,7,HOLLIDAY Christopher Mansfield-Scott,4,KNIZHNIK David,21,pool,D1,0,1,5,-4,2080.0,2953.0,-873.0,0,6,0.0,0.3333333333333333
Feb NAC 2026,pool_1,1,HUANG Eythan,7,HOLLIDAY Christopher Mansfield-Scott,4,pool,V5,1,5,5,0,2420.0,2080.0,340.0,1,2,0.0,0.0
Feb NAC 2026,pool_1,1,HUANG Eythan,5,MCISAAC Finn,8,pool,D4,0,4,5,-1,2420.0,2368.0,52.0,0,3,1.0,0.5
Feb NAC 2026,pool_1,1,HUANG Eythan,3,PARK Sky,12,pool,D1,0,1,5,-4,2420.0,2468.0,-48.0,0,4,0.0,0.3333333333333333
Feb NAC 2026,pool_1,1,HUANG Eythan,6,KAO Castor T.,16,pool,D0,0,0,5,-5,2420.0,3260.0,-840.0,0,5,0.0,0.3333333333333333
Feb NAC 2026,pool_1,1,HUANG Eythan,2,SHANNON Jack,20,pool,D3,0,3,5,-2,2420.0,2059.0,361.0,0,6,0.0,0.0
Feb NAC 2026,pool_1,6,KAO Castor T.,7,HOLLIDAY Christopher Mansfield-Scott,7,pool,V5,1,5,5,0,3260.0,2080.0,1180.0,1,2,1.0,1.0
Feb NAC 2026,pool_1,6,KAO Castor T.,2,SHANNON Jack,10,pool,V5,1,5,5,0,3260.0,2059.0,1201.0,1,3,1.0,1.0
Feb NAC 2026,pool_1,6,KAO Castor T.,4,KNIZHNIK David,13,pool,D3,0,3,5,-2,3260.0,2953.0,307.0,0,4,1.0,1.0
Feb NAC 2026,pool_1,6,KAO Castor T.,1,HUANG Eythan,16,pool,V5,1,5,5,0,3260.0,2420.0,840.0,1,5,0.0,0.6666666666666666
Feb NAC 2026,pool_1,6,KAO Castor T.,5,MCISAAC Finn,19,pool,V5,1,5,5,0,3260.0,2368.0,892.0,1,6,1.0,0.6666666666666666
Feb NAC 2026,pool_1,4,KNIZHNIK David,5,MCISAAC Finn,5,pool,V5,1,5,5,0,2953.0,2368.0,585.0,1,2,1.0,1.0
Feb NAC 2026,pool_1,4,KNIZHNIK David,3,PARK Sky,9,pool,V5,1,5,5,0,2953.0,2468.0,485.0,1,3,1.0,1.0
Feb NAC 2026,pool_1,4,KNIZHNIK David,6,KAO Castor T.,13,pool,V5,1,5,5,0,2953.0,3260.0,-307.0,1,4,1.0,1.0
Feb NAC 2026,pool_1,4,KNIZHNIK David,2,SHANNON Jack,17,pool,V5,1,5,5,0,2953.0,2059.0,894.0,1,5,1.0,1.0
Feb NAC 2026,pool_1,4,KNIZHNIK David,7,HOLLIDAY Christopher Mansfield-Scott,21,pool,V5,1,5,5,0,2953.0,2080.0,873.0,1,6,1.0,1.0
Feb NAC 2026,pool_1,5,MCISAAC Finn,4,KNIZHNIK David,5,pool,D0,0,0,5,-5,2368.0,2953.0,-585.0,0,2,1.0,1.0
Feb NAC 2026,pool_1,5,MCISAAC Finn,1,HUANG Eythan,8,pool,V5,1,5,5,0,2368.0,2420.0,-52.0,1,3,0.0,0.5
Feb NAC 2026,pool_1,5,MCISAAC Finn,7,HOLLIDAY Christopher Mansfield-Scott,11,pool,D4,0,4,5,-1,2368.0,2080.0,288.0,0,4,1.0,0.6666666666666666
Feb NAC 2026,pool_1,5,MCISAAC Finn,3,PARK Sky,15,pool,V5,1,5,5,0,2368.0,2468.0,-100.0,1,5,0.0,0.3333333333333333
Feb NAC 2026,pool_1,5,MCISAAC Finn,6,KAO Castor T.,19,pool,D1,0,1,5,-4,2368.0,3260.0,-892.0,0,6,1.0,0.6666666666666666
Feb NAC 2026,pool_1,3,PARK Sky,2,SHANNON Jack,6,pool,D4,0,4,5,-1,2468.0,2059.0,409.0,0,2,0.0,0.0
Feb NAC 2026,pool_1,3,PARK Sky,4,KNIZHNIK David,9,pool,D2,0,2,5,-3,2468.0,2953.0,-485.0,0,3,0.0,0.0
Feb NAC 2026,pool_1,3,PARK Sky,1,HUANG Eythan,12,pool,V5,1,5,5,0,2468.0,2420.0,48.0,1,4,0.0,0.0
Feb NAC 2026,pool_1,3,PARK Sky,5,MCISAAC Finn,15,pool,D4,0,4,5,-1,2468.0,2368.0,100.0,0,5,1.0,0.3333333333333333
Feb NAC 2026,pool_1,3,PARK Sky,7,HOLLIDAY Christopher Mansfield-Scott,18,pool,V5,1,5,5,0,2468.0,2080.0,388.0,1,6,0.0,0.3333333333333333
Feb NAC 2026,pool_1,2,SHANNON Jack,3,PARK Sky,6,pool,V5,1,5,5,0,2059.0,2468.0,-409.0,1,2,0.0,0.0
Feb NAC 2026,pool_1,2,SHANNON Jack,6,KAO Castor T.,10,pool,D0,0,0,5,-5,2059.0,3260.0,-1201.0,0,3,1.0,0.5
Feb NAC 2026,pool_1,2,SHANNON Jack,7,HOLLIDAY Christopher Mansfield-Scott,14,pool,V5,1,5,5,0,2059.0,2080.0,-21.0,1,4,0.0,0.3333333333333333
Feb NAC 2026,pool_1,2,SHANNON Jack,4,KNIZHNIK David,17,pool,D2,0,2,5,-3,2059.0,2953.0,-894.0,0,5,1.0,0.6666666666666666
Feb NAC 2026,pool_1,2,SHANNON Jack,1,HUANG Eythan,20,pool,V5,1,5,5,0,2059.0,2420.0,-361.0,1,6,0.0,0.3333333333333333
Feb NAC 2026,pool_10,5,CHEN Ethan,4,LE Jacob H.,5,pool,V5,1,5,5,0,2527.0,2542.0,-15.0,1,2,0.0,0.0
Feb NAC 2026,pool_10,5,CHEN Ethan,7,HAN Changhee,11,pool,V5,1,5,5,0,2527.0,2675.0,-148.0,1,4,1.0,0.6666666666666666
Feb NAC 2026,pool_10,5,CHEN Ethan,3,WANG Elijah (QiChen),15,pool,V5,1,5,5,0,2527.0,2245.0,282.0,1,5,1.0,1.0
Feb NAC 2026,pool_10,5,CHEN Ethan,6,YIN Zixin (Gavin),19,pool,V5,1,5,5,0,2527.0,2005.0,522.0,1,6,1.0,1.0
